Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf_link_hash_table_free,✓,✗,✗,✗
bfd_elf_link_hash_table_init,✓,✗,✗,✗
bfd_elf_link_hide_sym_by_version,✓,✗,✗,✗
bfd_elf_link_hide_symbol,✓,✗,✗,✗
bfd_elf_link_hide_versioned_symbol.constprop.0,✓,✗,✗,✗
bfd_elf_link_info_read_relocs,✓,✗,✗,✗
bfd_elf_link_iterate_on_relocs,✓,✗,✗,✗
bfd_elf_link_keep_memory,✓,✗,✗,✗
bfd_elf_link_mark_dynamic_symbol,✓,✗,✗,✗
bfd_elf_link_mmap_section_contents,✓,✗,✗,✗
bfd_elf_link_munmap_section_contents,✓,✗,✗,✗
bfd_elf_link_output_relocs,✓,✗,✗,✗
bfd_elf_link_record_dynamic_symbol,✓,✗,✗,✗
bfd_elf_link_record_local_dynamic_symbol,✓,✗,✗,✗
bfd_elf_link_renumber_dynsyms,✓,✗,✗,✗
bfd_elf_link_sec_merge_syms,✓,✗,✗,✗
bfd_elf_link_setup_gnu_properties,✓,✗,✗,✗
bfd_elf_link_size_reloc_section,✓,✗,✗,✗
bfd_elf_lookup_section_flags,✓,✗,✗,✗
bfd_elf_make_dynamic_reloc_section,✓,✗,✗,✗
bfd_elf_make_dynamic_segment,✓,✗,✗,✗
bfd_elf_make_empty_symbol,✓,✗,✗,✗
bfd_elf_make_object,✓,✗,✗,✗
bfd_elf_make_section_from_phdr,✓,✗,✗,✗
bfd_elf_make_section_from_shdr,✓,✗,✗,✗
bfd_elf_map_sections_to_segments,✓,✗,✗,✗
bfd_elf_match_symbols_in_sections,✓,✗,✗,✗
bfd_elf_maybe_set_textrel,✓,✗,✗,✗
bfd_elf_maybe_strip_eh_frame_hdr,✓,✗,✗,✗
bfd_elf_maybe_vxworks_add_dynamic_tags,✓,✗,✗,✗
bfd_elf_merge_object_attributes,✓,✗,✗,✗
bfd_elf_merge_section_sframe,✓,✗,✗,✗
bfd_elf_merge_sections,✓,✗,✗,✗
bfd_elf_merge_symbol.constprop.0,✓,✗,✗,✗
bfd_elf_merge_unknown_attribute_list,✓,✗,✗,✗
bfd_elf_merge_unknown_attribute_low,✓,✗,✗,✗
bfd_elf_mkcorefile,✓,✗,✗,✗
bfd_elf_mmap_section_contents,✓,✗,✗,✗
bfd_elf_munmap_section_contents,✓,✗,✗,✗
bfd_elf_new_section_hook,✓,✗,✗,✗
bfd_elf_no_info_to_howto,✓,✗,✗,✗
bfd_elf_notice_as_needed,✓,✗,✗,✗
bfd_elf_obj_attr_size,✓,✗,✗,✗
bfd_elf_obj_attrs_arg_type,✓,✗,✗,✗
bfd_elf_omit_section_dynsym_default,✓,✗,✗,✗
bfd_elf_parse_attributes,✓,✗,✗,✗
bfd_elf_parse_eh_frame,✓,✗,✗,✗
bfd_elf_parse_eh_frame_entries,✓,✗,✗,✗
bfd_elf_parse_eh_frame_entry,✓,✗,✗,✗
bfd_elf_parse_gnu_properties,✓,✗,✗,✗
bfd_elf_parse_sframe,✓,✗,✗,✗
bfd_elf_perform_complex_relocation,✓,✗,✗,✗
bfd_elf_plt_get_reloc_section,✓,✗,✗,✗
bfd_elf_print_private_bfd_data,✓,✗,✗,✗
bfd_elf_print_symbol,✓,✗,✗,✗
