Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_doprnt,imp.__sprintf_chk,High-High,✓,✗,✗,✗
bfd_doprnt,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_doprnt,imp.strchr,High-High,✓,✗,✗,✗
bfd_doprnt,memcpy,High-High,✗,✗,✗,✓
bfd_doprnt,sprintf_chk,High-High,✗,✗,✗,✓
bfd_doprnt,stack_chk_fail,High-High,✗,✗,✗,✓
bfd_doprnt,strchr,High-High,✗,✗,✗,✓
bfd_doprnt_scan,bfd_abort,High-High,✓,✗,✗,✓
bfd_doprnt_scan,bfd_doprnt,High-High,✗,✗,✗,✓
bfd_doprnt_scan,bfd_malloc,High-High,✗,✗,✗,✓
bfd_doprnt_scan,err_sprintf,High-High,✗,✗,✗,✓
bfd_doprnt_scan,imp.strchr,High-High,✓,✗,✗,✗
bfd_doprnt_scan,memcpy,High-High,✗,✗,✗,✓
bfd_doprnt_scan,sprintf_chk,High-High,✗,✗,✗,✓
bfd_doprnt_scan,stack_chk_fail,High-High,✗,✗,✗,✓
bfd_doprnt_scan,strchr,High-High,✗,✗,✗,✓
bfd_dummy_target,bfd_set_error,High-High,✓,✗,✗,✗
bfd_dwarf2_cleanup_debug_info,bfd_close,High-High,✓,✗,✗,✗
bfd_dwarf2_cleanup_debug_info,bfd_hash_table_free,High-High,✓,✗,✗,✗
bfd_dwarf2_cleanup_debug_info,htab_delete,High-High,✓,✗,✗,✗
bfd_dwarf2_cleanup_debug_info,splay_tree_delete,High-High,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,bfd_dwarf2_cleanup_debug_info,High-High,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,bfd_malloc,High-High,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,bfd_zalloc,High-High,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,htab_create_alloc,High-High,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_elf32_core_file_matches_executable_p,bfd_set_error,High-High,✓,✗,✗,✗
bfd_elf32_core_file_matches_executable_p,imp.memcmp,High-High,✓,✗,✗,✗
bfd_elf32_core_file_matches_executable_p,imp.strcmp,High-High,✓,✗,✗,✗
bfd_elf32_core_file_matches_executable_p,imp.strrchr,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_alloc,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_get_error,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_get_file_size,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_read,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_seek,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,bfd_set_error,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,elf_swap_ehdr_in,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,elf_swap_shdr_in,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_elf32_core_file_p,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_alloc,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_elf_setup_sections,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_get_error,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_get_file_size,High-High,✓,✗,✗,✗
